source,target,weight,direction,sourceAltId,targetAltId,id
ADH1A,RBP4,0.1926,undirected,NA,NA,ADH1A-RBP4
ADH1A,SAA1,0.1103,undirected,NA,NA,ADH1A-SAA1
ADH1A,TF,0.1221,undirected,NA,NA,ADH1A-TF
ADH1A,THRSP,0.1195,undirected,NA,NA,ADH1A-THRSP
ADH1A,TIMP4,0.1202,undirected,NA,NA,ADH1A-TIMP4
ADH1A,CLDN5,0.1161,undirected,NA,NA,ADH1A-CLDN5
ADH1A,SDPR,0.1232,undirected,NA,NA,ADH1A-SDPR
ADH1A,MYOM1,0.1032,undirected,NA,NA,ADH1A-MYOM1
ADH1A,GYG2,0.1329,undirected,NA,NA,ADH1A-GYG2
ADH1A,LDB2,0.1073,undirected,NA,NA,ADH1A-LDB2
ADH1A,GLYAT,0.191,undirected,NA,NA,ADH1A-GLYAT
ADH1A,ABCA8,0.1336,undirected,NA,NA,ADH1A-ABCA8
ADH1A,SORBS1,0.1181,undirected,NA,NA,ADH1A-SORBS1
ADH1A,ALDH1L1,0.1744,undirected,NA,NA,ADH1A-ALDH1L1
ADH1A,PCOLCE2,0.1372,undirected,NA,NA,ADH1A-PCOLCE2
ADH1A,HSPB7,0.1487,undirected,NA,NA,ADH1A-HSPB7
ADH1A,KLF15,0.1037,undirected,NA,NA,ADH1A-KLF15
ADH1A,G0S2,0.1691,undirected,NA,NA,ADH1A-G0S2
ADH1A,MLXIPL,0.1318,undirected,NA,NA,ADH1A-MLXIPL
ADH1A,ACSM5,0.1201,undirected,NA,NA,ADH1A-ACSM5
ADH1A,TMEM100,0.1032,undirected,NA,NA,ADH1A-TMEM100
ADH1A,MRAP,0.1963,undirected,NA,NA,ADH1A-MRAP
ADH1A,SLC7A10,0.2438,undirected,NA,NA,ADH1A-SLC7A10
ADH1A,SEMA3G,0.1228,undirected,NA,NA,ADH1A-SEMA3G
ADH1A,GPAM,0.1728,undirected,NA,NA,ADH1A-GPAM
ADH1A,CIDEC,0.1793,undirected,NA,NA,ADH1A-CIDEC
ADH1A,TNMD,0.215,undirected,NA,NA,ADH1A-TNMD
ADH1A,MARC1,0.1072,undirected,NA,NA,ADH1A-MARC1
ADH1A,LINC00341,0.1394,undirected,NA,NA,ADH1A-LINC00341
ADH1A,SVEP1,0.1059,undirected,NA,NA,ADH1A-SVEP1
ADH1A,ITIH5,0.1232,undirected,NA,NA,ADH1A-ITIH5
