"";"from";"to";"value"
"247203";"159";"239";1
"247239";"195";"239";1
"247542";"498";"239";1
"247813";"769";"239";1
"247826";"782";"239";1
"248216";"134";"240";1
"248955";"873";"240";1
"248965";"883";"240";1
"249050";"968";"240";1
"249285";"165";"241";1
"249798";"678";"241";1
"249884";"764";"241";1
"250617";"459";"242";1
"250811";"653";"242";1
"251048";"890";"242";1
"251860";"664";"243";1
"252076";"880";"243";1
"252079";"883";"243";1
"252154";"958";"243";1
"252578";"344";"244";1
"253023";"789";"244";1
"253171";"937";"244";1
"253197";"963";"244";1
"253375";"103";"245";1
"253433";"161";"245";1
"253828";"556";"245";1
"253838";"566";"245";1
"253890";"618";"245";1
"254246";"974";"245";1
"254372";"62";"246";1
"254509";"199";"246";1
"254837";"527";"246";1
"255419";"71";"247";1
"255542";"194";"247";1
"255871";"523";"247";1
"256869";"483";"248";1
"256929";"543";"248";1
"257118";"732";"248";1
"257244";"858";"248";1
"257729";"305";"249";1
"257752";"328";"249";1
"257847";"423";"249";1
"257870";"446";"249";1
"257902";"478";"249";1
"258013";"589";"249";1
"258277";"853";"249";1
"258690";"228";"250";1
"258719";"257";"250";1
"258735";"273";"250";1
"258746";"284";"250";1
"259581";"81";"251";1
"259641";"141";"251";1
"259730";"230";"251";1
"259786";"286";"251";1
"259805";"305";"251";1
"260236";"736";"251";1
"260448";"948";"251";1
"261145";"607";"252";1
"261195";"657";"252";1
"261498";"960";"252";1
"261540";"1002";"252";1
"261934";"358";"253";1
"261995";"419";"253";1
"262410";"834";"253";1
"262830";"216";"254";1
"263007";"393";"254";1
"263008";"394";"254";1
"263154";"540";"254";1
"263176";"562";"254";1
"263399";"785";"254";1
"263697";"45";"255";1
"263757";"105";"255";1
"263830";"178";"255";1
"264153";"501";"255";1
"264278";"626";"255";1
"264360";"708";"255";1
"264871";"181";"256";1
"264913";"223";"256";1
"264961";"271";"256";1
"265023";"333";"256";1
"265425";"735";"256";1
"265794";"66";"257";1
"265820";"92";"257";1
"266035";"307";"257";1
"266054";"326";"257";1
"266120";"392";"257";1
"266771";"5";"258";1
"266810";"44";"258";1
"266874";"108";"258";1
"266894";"128";"258";1
"267097";"331";"258";1
"267587";"821";"258";1
"267815";"11";"259";1
"267944";"140";"259";1
"268499";"695";"259";1
"269960";"80";"261";1
"270004";"124";"261";1
"270017";"137";"261";1
"270064";"184";"261";1
"270519";"639";"261";1
"270554";"674";"261";1
"271402";"484";"262";1
"271702";"784";"262";1
"272426";"470";"263";1
"272704";"748";"263";1
"272863";"907";"263";1
"273062";"68";"264";1
"274267";"235";"265";1
"274367";"335";"265";1
"274548";"516";"265";1
"275637";"567";"266";1
"276424";"316";"267";1
"277046";"938";"267";1
"277164";"18";"268";1
"277270";"124";"268";1
"277362";"216";"268";1
"279177";"993";"269";1
"279983";"761";"270";1
"280044";"822";"270";1
"280222";"1000";"270";1
"280441";"181";"271";1
"280483";"223";"271";1
"280516";"256";"271";1
"280593";"333";"271";1
"280782";"522";"271";1
"281323";"25";"272";1
"281517";"219";"272";1
"281812";"514";"272";1
"281868";"570";"272";1
"282013";"715";"272";1
"282045";"747";"272";1
"282475";"139";"273";1
"282498";"162";"273";1
"282586";"250";"273";1
"282804";"468";"273";1
"283149";"813";"273";1
"283772";"398";"274";1
"283779";"405";"274";1
"283991";"617";"274";1
"284260";"886";"274";1
"284838";"426";"275";1
"285157";"745";"275";1
"285208";"796";"275";1
"285375";"963";"275";1
"285464";"14";"276";1
"285941";"491";"276";1
"286004";"554";"276";1
"286374";"924";"276";1
"286536";"48";"277";1
"286537";"49";"277";1
"286774";"286";"277";1
"287107";"619";"277";1
"287108";"620";"277";1
"287441";"953";"277";1
"287919";"393";"278";1
"287926";"400";"278";1
"288195";"669";"278";1
"288253";"727";"278";1
"288975";"411";"279";1
"289085";"521";"279";1
"289131";"567";"279";1
"289294";"730";"279";1
"290190";"588";"280";1
"290313";"711";"280";1
"290614";"1012";"280";1
"290658";"18";"281";1
"291365";"725";"281";1
"291690";"12";"282";1
"291766";"88";"282";1
"292077";"399";"282";1
"292245";"567";"282";1
"293761";"7";"284";1
"293972";"218";"284";1
"294004";"250";"284";1
"294279";"525";"284";1
"294562";"808";"284";1
"294602";"848";"284";1
"294647";"893";"284";1
"294680";"926";"284";1
"294781";"1027";"284";1
"295106";"314";"285";1
"295151";"359";"285";1
"295177";"385";"285";1
"295442";"650";"285";1
"295625";"833";"285";1
"295879";"49";"286";1
"295911";"81";"286";1
"296060";"230";"286";1
"296107";"277";"286";1
"297105";"237";"287";1
"297371";"503";"287";1
"297436";"568";"287";1
"297539";"671";"287";1
"297606";"738";"287";1
"297699";"831";"287";1
"298044";"138";"288";1
"298098";"192";"288";1
"298238";"332";"288";1
"298904";"998";"288";1
"298995";"51";"289";1
"299264";"320";"289";1
"299470";"526";"289";1
"299729";"785";"289";1
"299846";"902";"289";1
"300023";"41";"290";1
"300675";"693";"290";1
"300947";"965";"290";1
"301233";"213";"291";1
"302320";"262";"292";1
"302842";"784";"292";1
"302859";"801";"292";1
"302942";"884";"292";1
"302972";"914";"292";1
"303133";"37";"293";1
"303988";"892";"293";1
"304047";"951";"293";1
"304240";"106";"294";1
"304382";"248";"294";1
"304617";"483";"294";1
"304677";"543";"294";1
"304843";"709";"294";1
"304895";"761";"294";1
"305025";"891";"294";1
"305084";"950";"294";1
"305139";"1005";"294";1
"305275";"103";"295";1
"305291";"119";"295";1
"305602";"430";"295";1
"305967";"795";"295";1
"306614";"404";"296";1
"306884";"674";"296";1
"307139";"929";"296";1
"307181";"971";"296";1
"307416";"168";"297";1
"307891";"643";"297";1
"307897";"649";"297";1
"308239";"991";"297";1
"309369";"45";"299";1
"310025";"701";"299";1
"310862";"500";"300";1
"310867";"505";"300";1
"310962";"600";"300";1
"311099";"737";"300";1
"311130";"768";"300";1
"311150";"788";"300";1
"311794";"394";"301";1
"312386";"986";"301";1
"312745";"307";"302";1
"313328";"890";"302";1
"313413";"975";"302";1
"314073";"597";"303";1
"314167";"691";"303";1
"314211";"735";"303";1
"314232";"756";"303";1
"314235";"759";"303";1
"316757";"167";"306";1
"317133";"543";"306";1
"317595";"1005";"306";1
"318444";"816";"307";1
"318812";"146";"308";1
"318834";"168";"308";1
"318843";"177";"308";1
"319489";"823";"308";1
"321558";"816";"310";1
"322003";"223";"311";1
"322519";"739";"311";1
"322534";"754";"311";1
"322922";"104";"312";1
"322992";"174";"312";1
"323431";"613";"312";1
"323559";"741";"312";1
"325179";"285";"314";1
"325279";"385";"314";1
"326258";"326";"315";1
"326509";"577";"315";1
"326519";"587";"315";1
"326556";"624";"315";1
"326577";"645";"315";1
"326627";"695";"315";1
"326645";"713";"315";1
